Average Effective Clock,CPU Overall Power Consumption,GPU Power,GPU Effective Clock,FPS
2749.2,122.477,345.914,1928.1,134
2744.7,121.862,346.223,1928.3,135
2838.3,125.296,347.009,1929.2,126
2771.0,124.522,347.897,1917.6,126
2838.1,126.445,347.093,1915.5,126
2866.7,127.061,347.7,1915.5,125
2884.4,127.216,346.143,1923.4,129
2876.5,127.559,347.058,1918.1,126
2745.2,124.074,344.957,1926.6,130
2616.7,121.387,348.525,1924.2,129
2753.8,125.587,348.427,1919.7,126
2646.3,122.389,348.971,1920.0,127
2689.6,123.724,347.919,1920.2,127
2791.6,126.325,348.078,1921.6,128
2837.2,127.323,346.982,1918.0,128
2758.1,124.809,347.279,1919.9,128
2764.1,124.72,348.357,1921.7,128
2756.5,124.629,347.428,1920.7,128
2741.7,124.36,347.148,1918.6,129
2754.1,125.101,344.695,1914.3,128
2681.7,124.829,321.872,1921.5,144
2183.6,113.268,191.027,1168.2,174
2760.1,125.713,338.193,1931.6,130
2870.4,128.383,340.79,1931.9,131
2875.2,128.951,344.245,1928.6,127
2782.0,126.495,340.592,1918.0,132
2752.3,125.745,344.838,1916.9,127
2742.1,125.892,346.135,1916.9,125
2849.1,129.683,345.455,1901.1,115
3188.6,140.952,331.928,1919.3,102
2911.9,131.093,343.243,1898.8,113
2938.7,131.944,344.837,1895.4,110
2942.8,132.48,342.454,1897.4,108
2934.4,132.215,346.886,1891.7,110
2988.4,134.174,345.013,1902.4,108
2946.8,133.11,344.55,1894.7,111
2915.0,129.324,344.857,1897.6,126
2833.2,127.257,344.016,1901.1,126
3014.9,133.314,344.407,1893.7,124
2833.4,126.968,340.479,1901.1,122
2984.4,132.163,344.124,1901.1,123
2989.9,132.258,342.572,1888.8,108
3017.3,133.388,343.27,1887.2,112
3020.9,133.226,343.204,1887.5,112
2946.9,130.522,341.619,1894.7,124
2892.4,129.951,344.321,1888.6,115
2872.4,129.958,345.081,1883.2,112
2836.3,129.401,345.027,1889.1,113
2951.4,131.825,343.807,1883.3,123
2949.2,130.673,343.133,1882.9,121
2937.9,130.501,344.036,1887.3,131
2849.2,127.882,344.248,1887.8,130
2797.4,126.176,346.205,1885.8,133
2802.2,125.974,346.608,1886.4,131
2809.0,126.34,345.807,1886.0,131
2822.9,127.07,341.336,1886.0,129
2844.4,128.25,343.406,1888.2,128
3141.8,136.493,341.989,1889.2,125
2890.7,128.437,342.859,1886.3,128
2854.0,127.184,342.814,1888.7,128
2922.5,128.677,342.766,1892.3,129
3003.1,131.238,343.608,1901.0,130
3031.5,132.006,341.828,1899.1,136
2998.2,130.567,339.246,1910.5,137
2970.6,128.981,341.832,1901.5,130
3152.5,135.04,341.304,1902.2,126
2984.8,130.027,338.465,1902.9,129
2954.7,128.407,342.178,1902.6,129
2948.9,128.138,344.054,1901.7,131
3013.4,129.502,342.867,1908.1,132
